full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Evo Morales;Male;1959;Orinoca Canton;Bolivia;South America;Politician;Government;Institutions;72;4297831;59692;228.721
Cyril Norman Hinshelwood;Male;1897;London;United Kingdom;Europe;Chemist;Natural Sciences;Science & Technology;34;194910;5733;22.872
Robert FitzRoy;Male;1805;Ampton;United Kingdom;Europe;Explorer;Explorers;Exploration;29;492683;16989;228.718
Walter Gilbert;Male;1932;Boston;United States;North America;Chemist;Natural Sciences;Science & Technology;35;348326;9952;22.871
Gherman Titov;Male;1935;Altai Krai;Russia;Europe;Astronaut;Explorers;Exploration;44;584413;13282;228.702
Charles Augustin Sainte-Beuve;Male;1804;Boulogne-sur-Mer;France;Europe;Critic;Language;Humanities;27;378564;14021;228.702
Edward Rydz-Śmigły;Male;1886;Berezhany;Ukraine;Europe;Politician;Government;Institutions;30;813842;27128;228.699
Ike Turner;Male;1931;Clarksdale;United States;North America;Musician;Music;Arts;31;3686753;118928;228.695
Mohammed V of Morocco;Male;1909;Fes;Morocco;Africa;Politician;Government;Institutions;31;1049819;33865;228.673
Isabella of France;Female;1292;Paris;France;Europe;Companion;Companions;Public Figure;32;1791130;55973;228.672
Jack Kilby;Male;1923;Jefferson City;United States;North America;Engineer;Engineering;Science & Technology;45;1075491;23900;228.672
Marie de Rabutin-Chantal, marquise de Sévigné;Female;1626;Paris;France;Europe;Writer;Language;Humanities;26;178395;6861;228.659
William Lassell;Male;1799;Bolton;United Kingdom;Europe;Astronomer;Natural Sciences;Science & Technology;35;175958;5027;228.657
Gerhard Herzberg;Male;1904;Hamburg;Germany;Europe;Chemist;Natural Sciences;Science & Technology;31;255146;8231;228.657
Wilhelm Hauff;Male;1802;Stuttgart;Germany;Europe;Writer;Language;Humanities;27;564366;20902;228.653
Panchen Lama;Male;1938;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;33;1282239;38856;228.645
Jochen Rindt;Male;1942;Mainz;Germany;Europe;Racecar Driver;Individual Sports;Sports;29;1616073;55727;228.644
Pehr Evind Svinhufvud;Male;1861;Sääksmäki;Finland;Europe;Politician;Government;Institutions;33;296922;8998;228.637
Yngwie J. Malmsteen;Male;1963;Stockholm;Sweden;Europe;Musician;Music;Arts;37;7275280;196629;228.626
Chaim Soutine;Male;1893;Śmiłavičy;Belarus;Europe;Painter;Fine Arts;Arts;29;776700;26783;228.619
John Gielgud;Male;1904;London;United Kingdom;Europe;Actor;Film And Theatre;Arts;35;1961408;56040;228.617
Wolfgang Paul;Male;1913;Zeithain;Germany;Europe;Physicist;Natural Sciences;Science & Technology;37;223385;6037;228.613
Burt Bacharach;Male;1928;Kansas City;United States;North America;Musician;Music;Arts;30;3819952;127332;228.608
Sveinn Björnsson;Male;1881;Copenhagen;Denmark;Europe;Politician;Government;Institutions;33;159506;4834;228.596
George Foreman;Male;1949;Marshall;United States;North America;Boxer;Individual Sports;Sports;35;7866296;224751;228.592
Wolfgang Schäuble;Male;1942;Freiburg;Germany;Europe;Politician;Government;Institutions;26;2459381;94592;228.588
Corneille Heymans;Male;1892;Ghent;Belgium;Europe;Physician;Medicine;Science & Technology;31;203568;6567;228.587
William of Tyre;Male;1130;Jerusalem;Israel;Asia;Historian;History;Humanities;27;403527;14945;228.587
Lesya Ukrainka;Female;1871;Novohrad-Volynskyi;Ukraine;Europe;Writer;Language;Humanities;31;1634494;52726;228.587
Jehoram;Male;-881;Other;Unknown;Unknown;Politician;Government;Institutions;27;128280;4751;22.858
William Wilberforce;Male;1759;Kingston upon Hull;United Kingdom;Europe;Politician;Government;Institutions;32;3197975;99937;228.566
Kim Novak;Female;1933;Chicago;United States;North America;Actor;Film And Theatre;Arts;33;4578322;138737;228.559
Glenn T. Seaborg;Male;1912;Ishpeming;United States;North America;Chemist;Natural Sciences;Science & Technology;41;823541;20086;228.554
Alan García Pérez;Male;1949;Lima;Peru;South America;Politician;Government;Institutions;50;2180098;43602;228.535
Max Müller;Male;1823;Dessau;Germany;Europe;Linguist;Language;Humanities;41;689599;16819;228.535
John le Carré;Male;1931;Poole;United Kingdom;Europe;Writer;Language;Humanities;38;3163529;83251;228.533
Michel Eugène Chevreul;Male;1786;Angers;France;Europe;Chemist;Natural Sciences;Science & Technology;30;368116;12271;228.528
Georg von Békésy;Male;1899;Budapest;Hungary;Europe;Physicist;Natural Sciences;Science & Technology;33;292250;8856;228.526
Francesco I de' Medici, Grand Duke of Tuscany;Male;1541;Florence;Italy;Europe;Nobleman;Government;Institutions;26;307856;11841;228.522
Alexander Alexandrovich Friedman;Male;1888;Saint Petersburg;Russia;Europe;Mathematician;Math;Science & Technology;35;384951;10999;22.852
Maria of Austria;Female;1505;Brussels;Belgium;Europe;Politician;Government;Institutions;26;123928;4766;228.514
Ramón del Valle-Inclán;Male;1866;András;Spain;Europe;Writer;Language;Humanities;28;1267412;45265;228.508
Isabelle Adjani;Female;1955;Paris;France;Europe;Actor;Film And Theatre;Arts;47;5679265;120835;228.504
Martin de Porres;Male;1579;Lima District;Peru;South America;Religious Figure;Religion;Institutions;29;2287196;78869;228.494
Gaspare Spontini;Male;1774;Maiolati Spontini;Italy;Europe;Composer;Music;Arts;26;202114;7774;228.494
Danny Elfman;Male;1953;Los Angeles;United States;North America;Composer;Music;Arts;37;6249137;168896;228.492
Henry Way Kendall;Male;1926;Boston;United States;North America;Physicist;Natural Sciences;Science & Technology;39;249752;6404;228.488
Pope Gregory III;Male;731;Syria;Syria;Asia;Religious Figure;Religion;Institutions;52;655153;12599;228.484
Émile Loubet;Male;1838;Marsanne;France;Europe;Politician;Government;Institutions;26;414372;15937;22.848
Yitzhak Shamir;Male;1915;Ruzhany;Belarus;Europe;Politician;Government;Institutions;43;1419956;33022;228.476
Emilia Plater;Female;1806;Vilnius;Lithuania;Europe;Social Activist;Activism;Public Figure;29;642356;22150;228.467
Denis Sassou Nguesso;Male;1943;Edou;Congo;Africa;Politician;Government;Institutions;37;698003;18865;228.454
Manuel II of Portugal;Male;1889;Lisbon;Portugal;Europe;Politician;Government;Institutions;30;1111980;37066;228.451
Lionel Jospin;Male;1937;Meudon;France;Europe;Politician;Government;Institutions;41;1397091;34075;22.845
Zubin Mehta;Male;1936;Mumbai;India;Asia;Conductor;Music;Arts;35;1684325;48124;228.448
Lázaro Cárdenas;Male;1895;Jiquilpan;Mexico;North America;Politician;Government;Institutions;32;3428538;107142;228.437
Bettino Craxi;Male;1934;Milan;Italy;Europe;Politician;Government;Institutions;39;1764921;45254;228.436
Armand Fallières;Male;1841;Mézin;France;Europe;Politician;Government;Institutions;28;329227;11758;228.436
Richard Nikolaus Graf Coudenhove-Kalergi;Male;1894;Tokyo;Japan;Asia;Politician;Government;Institutions;29;478528;16501;228.435
George R. R. Martin;Male;1948;Bayonne;United States;North America;Writer;Language;Humanities;44;10121386;230032;228.427
Charlotte Rampling;Female;1946;Sturmer;United Kingdom;Europe;Actor;Film And Theatre;Arts;31;3583574;115599;228.422
George Pólya;Male;1887;Budapest;Hungary;Europe;Mathematician;Math;Science & Technology;29;649398;22393;228.417
Francisco Solano López;Male;1826;Asunción;Paraguay;South America;Politician;Government;Institutions;28;629092;22468;228.415
Ahmed Hassan al-Bakr;Male;1914;Tikrit;Iraq;Asia;Politician;Government;Institutions;31;783355;25270;228.409
Srinivasa Ramanujan;Male;1887;Erode;India;Asia;Mathematician;Math;Science & Technology;61;6823782;111865;228.407
Robert Lucas, Jr.;Male;1937;Yakima;United States;North America;Economist;Social Sciences;Science & Technology;33;252349;7647;22.84
Eduardo Chillida;Male;1924;Donostia / San Sebastián;Spain;Europe;Sculptor;Fine Arts;Arts;26;721019;27732;228.368
Jomo Kenyatta;Male;1893;Gatundu;Kenya;Africa;Politician;Government;Institutions;47;1668805;35506;228.361
Isabella Rossellini;Female;1952;Rome;Italy;Europe;Model;Media Personality;Public Figure;36;6346333;176287;22.836
Fabrizio De André;Male;1940;Genoa;Italy;Europe;Singer;Music;Arts;26;3999163;153814;228.348
Lewis Milestone;Male;1895;Chişinău;Moldova;Europe;Film Director;Film And Theatre;Arts;29;333286;11493;228.324
Fuad I of Egypt;Male;1868;Cairo;Egypt;Africa;Politician;Government;Institutions;28;702425;25087;228.324
Émile Lahoud;Male;1936;Beirut;Lebanon;Asia;Politician;Government;Institutions;34;410579;12076;228.319
Wat Tyler;Male;1341;Kent;United Kingdom;Europe;Social Activist;Activism;Public Figure;28;662694;23668;228.317
Ram Narayan;Male;1927;Udaipur;India;Asia;Musician;Music;Arts;72;252284;3504;228.301
Robert H. Goddard;Male;1882;Worcester;United States;North America;Physicist;Natural Sciences;Science & Technology;44;1246821;28337;228.298
Kiri Te Kanawa;Female;1944;Gisborne;New Zealand;Oceania;Singer;Music;Arts;28;1353934;48355;228.297
David Suchet;Male;1946;London;United Kingdom;Europe;Actor;Film And Theatre;Arts;35;3319659;94847;228.295
Johann Jakob Balmer;Male;1825;Lausen;Switzerland;Europe;Physicist;Natural Sciences;Science & Technology;27;192965;7147;228.286
Werner Mölders;Male;1913;Gelsenkirchen;Germany;Europe;Military Personnel;Military;Institutions;28;1176171;42006;228.285
Anthony James Leggett;Male;1938;Camberwell;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;37;313018;8460;228.282
Massimo Moratti;Male;1945;Bosco Chiesanuova;Italy;Europe;Businessperson;Business;Business & Law;28;2008547;71734;228.281
Roy Scheider;Male;1932;Orange;United States;North America;Actor;Film And Theatre;Arts;34;4130275;121479;22.828
José Manuel Barroso;Male;1956;Porto;Portugal;Europe;Politician;Government;Institutions;56;2409045;43019;228.278
Gene Roddenberry;Male;1921;El Paso;United States;North America;Producer;Business;Business & Law;40;3329047;83226;228.276
André Ernest Modeste Grétry;Male;1741;Liège;Belgium;Europe;Composer;Music;Arts;30;226704;7557;228.273
Robert Burns Woodward;Male;1917;Boston;United States;North America;Chemist;Natural Sciences;Science & Technology;36;428544;11904;228.272
Merton Miller;Male;1923;Boston;United States;North America;Economist;Social Sciences;Science & Technology;31;334190;10780;228.269
Lars Ulrich;Male;1963;Gentofte Municipality;Denmark;Europe;Musician;Music;Arts;44;8766725;199244;228.262
Mohammed bin Rashid Al Maktoum;Male;1949;Dubai;United Arab Emirates;Asia;Politician;Government;Institutions;37;5550089;150002;228.261
Sammy Davis, Jr.;Male;1925;New York;United States;North America;Singer;Music;Arts;27;969406;35904;228.258
Sonny Rollins;Male;1930;New York;United States;North America;Musician;Music;Arts;26;1341077;51580;228.257
Pamela Anderson;Female;1967;Ladysmith;Canada;North America;Actor;Film And Theatre;Arts;61;19552713;320536;228.245
Frederick VI of Denmark;Male;1768;Copenhagen;Denmark;Europe;Politician;Government;Institutions;28;835102;29825;228.241
Guillaume de l'Hôpital;Male;1661;Paris;France;Europe;Mathematician;Math;Science & Technology;36;264204;7339;228.241
Emmeline Pankhurst;Female;1858;Moss Side;United Kingdom;Europe;Social Activist;Activism;Public Figure;33;2022386;61284;22.822
Theodore von Karman;Male;1881;Budapest;Hungary;Europe;Engineer;Engineering;Science & Technology;29;626463;21602;228.217
Folke Bernadotte;Male;1895;Stockholm;Sweden;Europe;Diplomat;Government;Institutions;28;1147313;40975;228.217
Paul Langevin;Male;1872;Paris;France;Europe;Physicist;Natural Sciences;Science & Technology;26;710265;27318;228.216
Frederick Sanger;Male;1918;Rendcomb;United Kingdom;Europe;Chemist;Natural Sciences;Science & Technology;47;1316768;28016;228.214
Christian VII of Denmark;Male;1749;Copenhagen;Denmark;Europe;Politician;Government;Institutions;29;1380787;47613;228.209
Percival Lowell;Male;1855;Boston;United States;North America;Astronomer;Natural Sciences;Science & Technology;32;627200;19600;228.205
William Giauque;Male;1895;Niagara Falls;Canada;North America;Chemist;Natural Sciences;Science & Technology;35;179214;5120;228.203
Brian David Josephson;Male;1940;Cardiff;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;44;411210;9346;228.203
Kazimierz Kuratowski;Male;1896;Warsaw;Poland;Europe;Mathematician;Math;Science & Technology;29;223581;7710;228.188
Andrey Vyshinsky;Male;1883;Odessa;Ukraine;Europe;Politician;Government;Institutions;27;376126;13931;228.183
Sandra Bullock;Female;1964;Arlington County;United States;North America;Actor;Film And Theatre;Arts;73;34067509;466678;228.178
Abbas II of Egypt;Male;1874;Alexandria;Egypt;Africa;Politician;Government;Institutions;29;447890;15444;228.173
Rumiko Takahashi;Female;1957;Niigata;Japan;Asia;Comic Artist;Design;Arts;33;3909352;118465;22.817
David Coverdale;Male;1951;Saltburn-by-the-Sea;United Kingdom;Europe;Singer;Music;Arts;32;3481139;108786;228.166
Abdus Salam;Male;1926;Jhang;Pakistan;Asia;Physicist;Natural Sciences;Science & Technology;45;1504667;33437;228.161
Siad Barre;Male;1919;Garbahaareey;Somalia;Africa;Politician;Government;Institutions;34;1019305;29980;228.157
Humayun;Male;1508;Kabul;Afghanistan;Asia;Politician;Government;Institutions;40;1412622;35316;228.153
Ladislao Kubala;Male;1927;Budapest;Hungary;Europe;Soccer Player;Team Sports;Sports;27;846889;31366;22.815
Max Delbrück;Male;1906;Berlin;Germany;Europe;Physicist;Natural Sciences;Science & Technology;38;292142;7688;228.145
Mercedes Sosa;Female;1935;Tucumán;Argentina;South America;Singer;Music;Arts;34;2966569;87252;22.813
Danielle Steel;Female;1947;New York;United States;North America;Writer;Language;Humanities;29;2924016;100828;228.129
Henry Moseley;Male;1887;Weymouth;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;29;1654357;57047;228.127
Robin Warren;Male;1937;Adelaide;Australia;Oceania;Physician;Medicine;Science & Technology;33;328949;9968;228.126
Jan Garbarek;Male;1947;Mysen;Norway;Europe;Musician;Music;Arts;26;923558;35521;228.124
John Cale;Male;1942;Garnant;United Kingdom;Europe;Musician;Music;Arts;37;2649507;71608;228.122
Jean-Pierre Jeunet;Male;1953;Roanne;France;Europe;Film Director;Film And Theatre;Arts;33;2583781;78296;228.087
Jeppe Aakjær;Male;1866;Fly;Denmark;Europe;Writer;Language;Humanities;30;205837;6861;228.082
William John Macquorn Rankine;Male;1820;Edinburgh;United Kingdom;Europe;Engineer;Engineering;Science & Technology;36;340568;9460;228.078
Roh Tae-woo;Male;1932;Daegu;South Korea;Asia;Politician;Government;Institutions;32;932733;29148;228.073
William Tyndale;Male;1494;North Nibley;United Kingdom;Europe;Religious Figure;Religion;Institutions;33;1434211;43461;228.073
Renata Tebaldi;Female;1922;Pesaro;Italy;Europe;Singer;Music;Arts;26;794833;30571;228.056
Chuichi Nagumo;Male;1887;Yonezawa;Japan;Asia;Military Personnel;Military;Institutions;29;1360659;46919;22.804
Jahangir;Male;1569;Fatehpur Sikri;India;Asia;Politician;Government;Institutions;45;2143810;47640;22.804
Kim Gu;Male;1876;Hwanghae;South Korea;Asia;Politician;Government;Institutions;29;653328;22529;22.803
Ananda Mahidol;Male;1925;Heidelberg;Germany;Europe;Politician;Government;Institutions;26;1269923;48843;228.017
Vo Nguyen Giap;Male;1911;Quang Binh Province;Vietnam;Asia;Military Personnel;Military;Institutions;45;5121185;113804;228.016
Vasily Surikov;Male;1848;Krasnoyarsk;Russia;Europe;Painter;Fine Arts;Arts;29;298395;10289;22.801
John Kendrew;Male;1917;Oxford;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;35;241008;6886;227.994
Teodoro Obiang Nguema Mbasogo;Male;1942;Acoacán;Equatorial Guinea;Africa;Politician;Government;Institutions;38;1261611;33200;22.799
Guadalupe Victoria;Male;1786;Tamazula;Mexico;North America;Politician;Government;Institutions;27;2439360;90347;227.972
Mahalia Jackson;Female;1911;New Orleans;United States;North America;Singer;Music;Arts;35;2133384;60954;22.797
Charles Trenet;Male;1913;Narbonne;France;Europe;Singer;Music;Arts;29;1512960;52171;227.958
Ken Kesey;Male;1935;La Junta;United States;North America;Writer;Language;Humanities;31;2712313;87494;227.953
Hermann Ebbinghaus;Male;1850;Barmen;Germany;Europe;Psychologist;Social Sciences;Science & Technology;27;1002176;37118;22.795
James Garner;Male;1928;Norman;United States;North America;Actor;Film And Theatre;Arts;29;6467558;223019;22.794
Léon Foucault;Male;1819;Paris;France;Europe;Physicist;Natural Sciences;Science & Technology;41;4589811;111947;227.929
Joe Strummer;Male;1952;Ankara;Turkey;Asia;Musician;Music;Arts;26;5930751;228106;227.927
Yochanan Vollach;Male;1945;Qiryat Bialik;Israel;Asia;Soccer Player;Team Sports;Sports;47;185205;3941;227.924
Rex Harrison;Male;1908;Huyton;United Kingdom;Europe;Actor;Film And Theatre;Arts;37;2232803;60346;227.916
Brian Cox;Male;1946;Dundee;United Kingdom;Europe;Actor;Film And Theatre;Arts;31;1412415;45562;22.791
Ferhat Abbas;Male;1899;Algeria;Algeria;Africa;Politician;Government;Institutions;33;514314;15585;227.897
Horace Walpole, 4th Earl of Orford;Male;1717;Kingdom of Great Britain;United Kingdom;Europe;Politician;Government;Institutions;26;696990;26807;227.896
Carl Spitzweg;Male;1808;Munich;Germany;Europe;Painter;Fine Arts;Arts;26;1016384;39092;227.894
Bryan Ferry;Male;1945;County Durham;United Kingdom;Europe;Singer;Music;Arts;27;3586410;132830;22.789
Celine Dion;Female;1968;Charlemagne;Canada;North America;Singer;Music;Arts;76;22409500;294862;227.889
Kevin Kline;Male;1947;St. Louis;United States;North America;Actor;Film And Theatre;Arts;36;5673133;157587;227.886
Bruno Kreisky;Male;1911;Vienna;Austria;Europe;Politician;Government;Institutions;34;800190;23535;227.876
Mariano José de Larra;Male;1809;Madrid;Spain;Europe;Writer;Language;Humanities;26;1029780;39607;227.876
John Mott;Male;1865;Livingston Manor;United States;North America;Diplomat;Government;Institutions;32;215988;6750;227.867
Leopold Stokowski;Male;1882;London;United Kingdom;Europe;Conductor;Music;Arts;27;1085847;40217;227.866
Eric Burdon;Male;1941;Newcastle;United Kingdom;Europe;Singer;Music;Arts;26;2670846;102725;227.865
Jennifer Lopez;Female;1969;New York;United States;North America;Singer;Music;Arts;74;47371469;640155;227.865
Candice Bergen;Female;1946;Los Angeles;United States;North America;Actor;Film And Theatre;Arts;37;3891540;105177;227.858
Choummaly Sayasone;Male;1936;Attapeu;Laos;Asia;Politician;Government;Institutions;36;446941;12415;227.848
Walter Scheel;Male;1919;Solingen;Germany;Europe;Politician;Government;Institutions;39;1523221;39057;22.784
Ahmed Ben Bella;Male;1918;Maghnia;Algeria;Africa;Politician;Government;Institutions;46;1313289;28550;227.838
Elihu Root;Male;1845;Clinton;United States;North America;Politician;Government;Institutions;32;534621;16707;227.817
George Carlin;Male;1937;New York;United States;North America;Comedian;Film And Theatre;Arts;51;11242153;220434;227.809
Laurent Schwartz;Male;1915;Paris;France;Europe;Mathematician;Math;Science & Technology;29;278796;9614;227.801
Tony Levin;Male;1946;Boston;United States;North America;Musician;Music;Arts;26;1222774;47030;227.798
Adolf Erik Nordenskiöld;Male;1832;Helsinki;Finland;Europe;Explorer;Explorers;Exploration;27;328112;12152;227.789
Terence Stamp;Male;1938;Stepney;United Kingdom;Europe;Actor;Film And Theatre;Arts;27;3939256;145898;227.785
John Hume;Male;1937;Derry;United Kingdom;Europe;Politician;Government;Institutions;38;585083;15397;227.781
Richard Arkwright;Male;1733;Preston;United Kingdom;Europe;Inventor;Invention;Science & Technology;31;1020592;32922;227.765
Rupert Murdoch;Male;1931;Melbourne;Australia;Oceania;Businessperson;Business;Business & Law;51;12578393;246635;227.763
Jean-Claude Trichet;Male;1942;Lyon;France;Europe;Economist;Social Sciences;Science & Technology;31;1096095;35358;227.754
Charles-Marie-René Leconte de Lisle;Male;1818;Saint-Paul;France;Europe;Writer;Language;Humanities;27;455438;16868;227.754
Gerhard Domagk;Male;1895;Łagów;Poland;Europe;Physician;Medicine;Science & Technology;36;427907;11886;227.753
Jennifer Aniston;Female;1969;Los Angeles;United States;North America;Actor;Film And Theatre;Arts;70;43727724;624682;227.751
George Whipple;Male;1878;Ashland;United States;North America;Physician;Medicine;Science & Technology;31;195488;6306;227.749
Edward G. Robinson;Male;1893;Bucharest;Romania;Europe;Actor;Film And Theatre;Arts;28;2287267;81688;227.745
Elvis Costello;Male;1954;London;United Kingdom;Europe;Musician;Music;Arts;34;7064524;207780;227.741
Baldwin I of Constantinople;Male;1172;Other;Unknown;Unknown;Politician;Government;Institutions;28;320642;11452;22.774
Nikolai Alekseevich Nekrasov;Male;1821;Nemyriv;Ukraine;Europe;Writer;Language;Humanities;32;288837;9026;227.739
Dolph Lundgren;Male;1957;Spånga;Sweden;Europe;Actor;Film And Theatre;Arts;42;15392092;366478;227.739
Alain-Fournier;Male;1886;La Chapelle-d'Angillon;France;Europe;Writer;Language;Humanities;27;629941;23331;227.713
André the Giant;Male;1946;Grenoble;France;Europe;Wrestler;Individual Sports;Sports;30;11093995;369800;227.708
Stamford Raffles;Male;1781;Jamaica;Jamaica;North America;Politician;Government;Institutions;34;904210;26594;227.701
John Pople;Male;1925;Burnham-on-Sea;United Kingdom;Europe;Chemist;Natural Sciences;Science & Technology;35;272143;7776;227.698
Ian Paice;Male;1948;Nottingham;United Kingdom;Europe;Musician;Music;Arts;30;1523957;50799;227.698
Peter Mansfield;Male;1933;Lambeth;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;32;308440;9639;227.697
Swami Vivekananda;Male;1863;Kolkata;India;Asia;Philosopher;Philosophy;Humanities;55;8156650;148303;227.682
Tabaré Vázquez;Male;1940;Montevideo;Uruguay;South America;Politician;Government;Institutions;36;619841;17218;227.682
Condoleezza Rice;Female;1954;Birmingham;United States;North America;Politician;Government;Institutions;65;10295198;158388;227.677
John Watts Young;Male;1930;San Francisco-Bay Area;United States;North America;Astronaut;Explorers;Exploration;31;408154;13166;227.674
Witold Lutosławski;Male;1913;Warsaw;Poland;Europe;Composer;Music;Arts;29;933067;32175;227.674
Robert Huber;Male;1937;Munich;Germany;Europe;Chemist;Natural Sciences;Science & Technology;34;243972;7176;227.672
Christian B. Anfinsen;Male;1916;Monessen;United States;North America;Chemist;Natural Sciences;Science & Technology;36;300569;8349;227.667
Arrigo Sacchi;Male;1946;Fusignano;Italy;Europe;Coach;Team Sports;Sports;29;1585517;54673;227.644
Alfred Radcliffe-Brown;Male;1881;Birmingham;United Kingdom;Europe;Anthropologist;Social Sciences;Science & Technology;27;471309;17456;227.636
Carlos Fuentes;Male;1928;Panama City;Panama;North America;Writer;Language;Humanities;46;5569361;121073;227.612
Harry Mulisch;Male;1927;Haarlem;Netherlands;Europe;Writer;Language;Humanities;63;1102454;17499;227.607
Floriano Peixoto;Male;1839;Maceió;Brazil;South America;Politician;Government;Institutions;32;721248;22539;227.592
Theodore Kaczynski;Male;1942;Chicago;United States;North America;Extremist;Outlaws;Public Figure;31;6444420;207885;227.568
Albert Sabin;Male;1906;Białystok;Poland;Europe;Physician;Medicine;Science & Technology;28;821584;29342;227.567
Wilhelm Busch;Male;1832;Wiedensahl;Germany;Europe;Painter;Fine Arts;Arts;37;1740920;47052;227.565
Vicente Blasco Ibáñez;Male;1867;Valencia;Spain;Europe;Writer;Language;Humanities;33;636624;19292;227.553
Joel Schumacher;Male;1939;New York;United States;North America;Film Director;Film And Theatre;Arts;28;2894475;103374;227.547
George Andrew Olah;Male;1927;Budapest;Hungary;Europe;Chemist;Natural Sciences;Science & Technology;38;264421;6958;227.539
Ernst Zermelo;Male;1871;Berlin;Germany;Europe;Mathematician;Math;Science & Technology;28;294350;10513;227.536
Linus Torvalds;Male;1969;Helsinki;Finland;Europe;Computer Scientist;Computer Science;Science & Technology;94;6485808;68998;227.527
Jean-Victor Poncelet;Male;1788;Metz;France;Europe;Mathematician;Math;Science & Technology;27;206669;7654;227.517
Georgia O'Keeffe;Female;1887;Sun Prairie;United States;North America;Artist;Fine Arts;Arts;51;4737453;92891;22.751
Pedro Pires;Male;1934;Fogo;Cape Verde;Africa;Politician;Government;Institutions;33;244514;7410;22.75
Meg Ryan;Female;1961;Fairfield;United States;North America;Actor;Film And Theatre;Arts;49;14715655;300319;227.494
Luiz Felipe Scolari;Male;1948;Passo Fundo;Brazil;South America;Coach;Team Sports;Sports;39;3244065;83181;227.494
Liliʻuokalani;Female;1838;Honolulu;United States;North America;Nobleman;Government;Institutions;40;1598119;39953;227.493
Adam Sandler;Male;1966;New York;United States;North America;Actor;Film And Theatre;Arts;56;35690814;637336;227.487
Arthur Kornberg;Male;1918;New York;United States;North America;Chemist;Natural Sciences;Science & Technology;31;433762;13992;22.748
Dennis Quaid;Male;1954;Houston;United States;North America;Actor;Film And Theatre;Arts;36;10534288;292619;227.455
Daniel D. Tompkins;Male;1774;Lower Hudson Valley;United States;North America;Politician;Government;Institutions;31;323995;10451;227.453
George Edward Moore;Male;1873;London;United Kingdom;Europe;Philosopher;Philosophy;Humanities;28;796292;28439;227.447
Ludwig III of Bavaria;Male;1845;Munich;Germany;Europe;Politician;Government;Institutions;28;634282;22653;227.426
Ellen Johnson Sirleaf;Female;1938;Monrovia;Liberia;Africa;Politician;Government;Institutions;69;1747237;25322;227.425
Aleksandr Kuprin;Male;1870;Penza Oblast;Russia;Europe;Writer;Language;Humanities;32;234399;7325;227.416
Cliff Burton;Male;1962;San Francisco-Bay Area;United States;North America;Musician;Music;Arts;40;8151605;203790;227.406
James III of Scotland;Male;1451;Stirling;United Kingdom;Europe;Politician;Government;Institutions;32;589022;18407;227.401
Otto Nicolai;Male;1810;Kaliningrad;Russia;Europe;Composer;Music;Arts;29;237936;8205;22.74
Fritz Albert Lipmann;Male;1899;Kaliningrad;Russia;Europe;Chemist;Natural Sciences;Science & Technology;32;208255;6508;227.397
Paul-Henri-Benjamin d'Estournelles de Constant;Male;1852;France;France;Europe;Politician;Government;Institutions;33;130880;3966;227.394
Thomas Schelling;Male;1921;San Francisco-Bay Area;United States;North America;Economist;Social Sciences;Science & Technology;34;576883;16967;227.391
Aden Abdullah Osman Daar;Male;1908;Beledweyne;Somalia;Africa;Politician;Government;Institutions;31;250476;8080;227.384
Megawati Sukarnoputri;Female;1947;Yogyakarta;Indonesia;Asia;Politician;Government;Institutions;51;1317222;25828;227.383
Simon van der Meer;Male;1925;The Hague;Netherlands;Europe;Physicist;Natural Sciences;Science & Technology;44;330691;7516;227.376
Colleen McCullough;Female;1937;Wellington;Australia;Oceania;Writer;Language;Humanities;27;839309;31086;227.373
Ronald Coase;Male;1910;Willesden;United Kingdom;Europe;Economist;Social Sciences;Science & Technology;41;1261380;30765;227.364
Bruce McLaren;Male;1937;Auckland;New Zealand;Oceania;Racecar Driver;Individual Sports;Sports;28;1109203;39614;227.352
Arthur Henderson;Male;1863;Glasgow;United Kingdom;Europe;Politician;Government;Institutions;31;306291;9880;227.351
Aaron Spelling;Male;1923;Dallas;United States;North America;Producer;Business;Business & Law;29;3113156;107350;22.735
Kobo Abe;Male;1924;Tokyo;Japan;Asia;Writer;Language;Humanities;38;1407350;37036;227.347
Jérôme Lalande;Male;1732;Bourg-en-Bresse;France;Europe;Astronomer;Natural Sciences;Science & Technology;26;182336;7013;227.342
Kim Philby;Male;1912;Ambala;India;Asia;Military Personnel;Military;Institutions;30;2248051;74935;227.334
Wim Duisenberg;Male;1935;Heerenveen;Netherlands;Europe;Politician;Government;Institutions;27;480975;17814;227.316
Henry Campbell-Bannerman;Male;1836;Glasgow;United Kingdom;Europe;Politician;Government;Institutions;35;434589;12417;227.315
Barbara Stanwyck;Female;1907;New York;United States;North America;Actor;Film And Theatre;Arts;35;4093794;116966;227.297
Godfrey Hounsfield;Male;1919;Newark-on-Trent;United Kingdom;Europe;Engineer;Engineering;Science & Technology;32;355291;11103;227.285
Gloria Gaynor;Female;1949;Newark;United States;North America;Singer;Music;Arts;31;2269808;73220;227.279
